track_id,track,artist,album,release_date,genre,subgenre,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,release_year,duration_min,duration_minsec
0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),2015-01-01,pop,pop,230226,73,0.573,0.7390000000000001,-5.74,0.2824993380990204,0.0285,0.0,0.111,0.451,97.085,1,2015,3.8371,"3 m, 50 s"
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,Camila,2018-01-01,pop,pop,217306,80,0.765,0.523,-4.333,0.02038655017209425,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,1,2018,3.621766666666667,"3 m, 37 s"
4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Selena Gomez,Rare,2020-01-01,pop,pop,206458,83,0.488,0.34299999999999997,-8.985,0.056393963463065924,0.556,0.0,0.21,0.0978,102.819,1,2020,3.4409666666666667,"3 m, 26 s"
6T6D9CIrHkALcHPafDFA6L,Vibez,ZAYN,Nobody Is Listening,2021-01-01,pop,pop,163346,73,0.643,0.6709999999999999,-7.45,0.16388668255229016,0.24100000000000002,0.0178,0.12,0.297,96.92399999999999,1,2021,2.722433333333333,"2 m, 43 s"
15og0pCEcTFWEXOFKdcJlU,Hate Me,Ellie Goulding,Brightest Blue,2020-01-01,pop,pop,188066,68,0.64,0.789,-4.891,0.11146412496690494,0.0875,0.0,0.147,0.762,75.018,1,2020,3.1344333333333334,"3 m, 8 s"
1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,So Good,2017-01-01,pop,pop,201122,76,0.6940000000000001,0.7120000000000001,-3.923,0.06274821286735502,0.133,0.0,0.21100000000000002,0.799,98.022,0,2017,3.3520333333333334,"3 m, 21 s"
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe),2016-01-01,pop,pop,214480,77,0.8029999999999999,0.585,-5.861000000000001,0.0553349218956844,0.10300000000000001,3.94e-06,0.0644,0.593,105.01700000000001,1,2016,3.574666666666667,"3 m, 34 s"
7gvd8xj4QgPqbQSsn5pV7d,Sorry Not Sorry,Demi Lovato,Tell Me You Love Me (Deluxe),2017-01-01,pop,pop,203760,78,0.705,0.64,-6.928,0.5366693142705851,0.0237,0.0,0.262,0.887,144.077,0,2017,3.3960000000000004,"3 m, 23 s"
5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-01-01,pop,pop,174800,77,0.664,0.708,-4.154,0.06645485835319034,0.0337,0.0,0.0841,0.742,103.07,1,2017,2.9133333333333336,"2 m, 54 s"
7vu0JkJh0ldukEYbTVcqd0,Issues,Julia Michaels,Nervous System,2017-01-01,pop,pop,176320,68,0.728,0.415,-6.852,0.11014032300767804,0.401,0.0,0.0616,0.455,114.145,1,2017,2.9386666666666668,"2 m, 56 s"
