,track_id,track,artist,album,release_date,subgenre,genre,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode
0,27ycaQnQAxaPiyeg3nr2aB,Midnight Sky,Miley Cyrus,Midnight Sky,2020-01-01,pop,pop,223279,92,0.705,0.814,-5.466,0.0346,0.00115,0.00312,0.203,0.259,110.0,minor
1,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),2015-01-01,pop,pop,230226,73,0.573,0.739,-5.74,0.129,0.0285,0.0,0.111,0.451,97.085,major
2,7JDWhC422Gtk1Bq0mL3OTC,feel something,Bea Miller,feel something,2019-01-01,pop,pop,180161,86,0.74,0.415,-8.914,0.0707,0.242,0.000156,0.319,0.156,136.029,major
3,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,Camila,2018-01-01,pop,pop,217306,82,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,major
4,3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Icarus Falls,2017-01-01,pop,pop,239000,64,0.259,0.437,-6.589,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,minor
5,4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Selena Gomez,Rare,2020-01-01,pop,pop,206458,84,0.488,0.343,-8.985,0.0436,0.556,0.0,0.21,0.0978,102.819,major
6,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,Zara Larsson,Ruin My Life,2018-01-01,pop,pop,190931,78,0.665,0.699,-5.265,0.0578,0.423,0.0,0.0969,0.585,124.896,major
7,15og0pCEcTFWEXOFKdcJlU,Hate Me,Ellie Goulding,Brightest Blue,2020-01-01,pop,pop,188066,68,0.64,0.789,-4.891,0.0644,0.0875,0.0,0.147,0.762,75.018,major
8,5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-01-01,pop,pop,174800,78,0.664,0.708,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,major
9,4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,Expectations,2018-01-01,pop,pop,164205,71,0.642,0.772,-6.61,0.0848,0.0476,0.0,0.0646,0.589,153.995,major
10,7vu0JkJh0ldukEYbTVcqd0,Issues,Julia Michaels,Nervous System,2017-01-01,pop,pop,176320,70,0.728,0.415,-6.852,0.0639,0.401,0.0,0.0616,0.455,114.145,major
11,7gvd8xj4QgPqbQSsn5pV7d,Sorry Not Sorry,Demi Lovato,Tell Me You Love Me (Deluxe),2017-01-01,pop,pop,203760,79,0.705,0.64,-6.928,0.225,0.0237,0.0,0.262,0.887,144.077,minor
12,4PV0uE5pZSh44E3NqNNDEH,Selfish,Madison Beer,Selfish,2020-01-01,pop,pop,223270,83,0.378,0.461,-6.202,0.0275,0.627,0.0,0.386,0.232,75.363,major
13,2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,Speak Your Mind (Deluxe),2018-01-01,pop,pop,186986,82,0.697,0.683,-2.881,0.117,0.0372,0.0,0.137,0.603,96.133,minor
14,4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe),2016-01-01,pop,pop,214480,77,0.803,0.585,-5.861,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,major
15,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Halsey,Manic,2020-01-01,pop,pop,201660,76,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,major
16,2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Title (Deluxe),2015-01-01,pop,pop,225053,78,0.63,0.53,-7.259,0.0434,0.4,0.0,0.177,0.417,108.038,major
17,27u7t9d7ZQoyjsCROHuZJ3,Tick Tock (feat. 24kGoldn),Clean Bandit,Tick Tock (feat. 24kGoldn),2020-01-01,pop,pop,178373,85,0.779,0.705,-3.895,0.0344,0.369,7.91e-06,0.124,0.946,101.022,major
18,44gz3bzhdcGUFgA5oc1wSu,Holiday,Little Mix,Holiday,2020-01-01,pop,pop,213596,80,0.712,0.676,-5.965,0.184,0.076,0.0,0.0669,0.648,106.156,major
19,5NQJnRpJHRaupdegphntQT,Jealous - Remix,Nick Jonas,Nick Jonas X2,2015-01-01,pop,pop,222186,68,0.684,0.71,-3.614,0.0779,0.0132,0.0,0.444,0.451,93.007,minor
20,5Fla3zyOCcIRqrDoKLU0DP,Let You Love Me,Rita Ora,Phoenix (Deluxe Edition),2018-01-01,pop,pop,191120,69,0.475,0.846,-3.344,0.283,0.275,0.0,0.0824,0.451,96.036,major
21,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,DNCE,2016-01-01,pop,pop,219146,79,0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,0.896,119.002,minor
22,37ZKB38iNyKJ0xYEz9SJgk,Josslyn,Olivia O'Brien,Josslyn,2020-01-01,pop,pop,189125,78,0.425,0.743,-5.54,0.148,0.012,0.0,0.709,0.344,84.748,minor
23,3afkJSKX0EAMsJXTZnDXXJ,Strawberries & Cigarettes,Troye Sivan,Strawberries & Cigarettes,2018-01-01,pop,pop,201538,80,0.578,0.537,-8.676,0.0832,0.162,0.0,0.076,0.25,83.909,major
24,22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,Happiness Begins,2019-01-01,pop,pop,181026,84,0.842,0.734,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958,minor
25,7rpNuuoMbid56XkDsx2FjE,Black And White,Niall Horan,Heartbreak Weather,2020-01-01,pop,pop,193089,79,0.443,0.582,-6.02,0.0482,0.0301,0.0,0.127,0.239,147.589,major
26,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,Animal (Expanded Edition),2010-01-01,pop,pop,199693,80,0.755,0.837,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,minor
27,1rW6UUZRQWW34j4zCQDkfX,Bang Bang,Jessie J,Sweet Talker,2014-01-01,pop,pop,199373,41,0.706,0.783,-3.441,0.1,0.315,0.0,0.373,0.739,150.045,minor
28,4a6q8CR2hzLk2plDkSxkfD,I.F.L.Y.,Bazzi,Soul Searching,2019-01-01,pop,pop,165714,82,0.812,0.519,-4.823,0.0385,0.379,0.0,0.13,0.554,104.954,major
29,5Z0AM9HW78XIyZqF2BPasr,Bitter,FLETCHER,Bitter,2020-01-01,pop,pop,194749,74,0.724,0.594,-7.126,0.102,0.393,0.00116,0.0889,0.413,136.002,minor
30,6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes,Shawn Mendes (Deluxe),2019-01-01,pop,pop,190799,82,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,minor
31,14OxJlLdcHNpgsm4DRwDOB,Habits (Stay High),Tove Lo,Queen Of The Clouds,2014-01-01,pop,pop,209160,69,0.729,0.65,-3.539,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,major
32,29JrmE89KgRyCxBIzq2Ocw,Strip That Down (feat. Quavo),Liam Payne,LP1,2019-01-01,pop,pop,202061,73,0.873,0.495,-5.446,0.0518,0.199,0.0,0.0805,0.546,106.033,major
